name,rating,popularity,cluster,performance
Le Petit Souffle,4.8,314,0,Medium
Izakaya Kikufuji,4.5,591,0,Medium
Heat - Edsa Shangri-La,4.4,270,0,Medium
Ooma,4.9,365,0,Medium
Sambo Kojin,4.8,229,0,Medium
Din Tai Fung,4.4,336,0,Medium
Buffet 101,4.0,520,0,Medium
Vikings,4.2,677,0,Medium
Spiral - Sofitel Philippine Plaza Manila,4.9,621,0,Medium
Locavore,4.8,532,0,Medium
Silantro Fil-Mex,4.9,1070,0,Medium
Mad Mark's Creamery & Good Eats,4.2,488,0,Medium
Silantro Fil-Mex,4.8,294,0,Medium
Guevarra's,4.2,458,0,Medium
Sodam Korean Restaurant,4.3,223,0,Medium
Cafe Arabelle,3.6,29,0,Medium
Nonna's Pasta & Pizzeria,4.0,72,0,Medium
Balay Dako,4.5,211,0,Medium
Hobing Korean Dessert Cafe,4.5,118,0,Medium
Wildflour Cafe + Bakery,4.4,392,0,Medium
NIU by Vikings,4.7,535,0,Medium
The Food Hall by Todd English,4.5,618,0,Medium
Chez Michou,3.0,6,0,Medium
Cafí© Daniel Briand,3.8,9,0,Medium
Casa do Biscoito Mineiro,3.7,11,0,Medium
Maori,3.8,11,0,Medium
Pizza íæ Bessa,3.2,11,0,Medium
Sushi Loko,3.1,10,0,Medium
Beirute,3.7,8,0,Medium
New Koto,3.7,5,0,Medium
Sandubas Cafí©,0.0,2,1,Low
Villa Tevere,4.1,12,0,Medium
Rovereto,3.1,9,0,Medium
Buena Carne,3.6,9,0,Medium
Taco Pep,4.3,29,0,Medium
Coco Bambu,4.2,17,0,Medium
Taypíç,3.6,5,0,Medium
Outback Steakhouse,4.0,10,0,Medium
Manzuíç,3.2,6,0,Medium
Coco Bambu,4.9,30,0,Medium
Gero,3.3,8,0,Medium
Brazilian American Burgers,3.6,9,0,Medium
Pesqueiro Eco Gourmet,4.0,7,0,Medium
Confeitaria Colombo,4.8,29,0,Medium
Bibi,4.7,24,0,Medium
Cervantes,4.5,29,0,Medium
Amir,4.2,11,0,Medium
TT Burger,4.8,19,0,Medium
Braseiro da Gíçvea,4.9,40,0,Medium
Balada Mix,4.6,21,0,Medium
Garota de Ipanema,4.9,49,0,Medium
Zazíç BistríÇ Tropical,4.6,21,0,Medium
Filí© de Ouro,4.3,14,0,Medium
D.O.C Ristorante,4.0,5,0,Medium
Sushi Leblon,4.6,25,0,Medium
Talho Capixaba,4.4,13,0,Medium
Leme Light,4.2,7,0,Medium
Shirley,4.2,8,0,Medium
Quiosque Chopp Brahma,0.0,1,1,Low
Aprazí_vel,4.7,44,0,Medium
Aconchego Carioca,4.6,24,0,Medium
Garota de Ipanema,4.3,10,0,Medium
Cantina Famiglia Mancini,4.5,49,0,Medium
Templo da Carne - Marcos Bassi,4.4,17,0,Medium
Gopala Hari,3.1,5,0,Medium
Jiquitaia,4.1,15,0,Medium
Skye - Hotel Unique,4.8,59,0,Medium
Les 3 Brasseurs,4.6,30,0,Medium
Red Steak & Burger,3.9,5,0,Medium
Cantinho da Gula,0.0,0,1,Low
Paris 6 Classique,3.4,73,0,Medium
Kawa Sushi,3.5,9,0,Medium
A Figueira Rubaiyat,4.3,39,0,Medium
Kinoshita,3.9,12,0,Medium
Meats,4.3,68,0,Medium
Paribar,4.3,46,0,Medium
Terraí_o Itíçlia,4.4,37,0,Medium
Divino Fogí£o,0.0,2,1,Low
Super Grill,0.0,2,1,Low
Esquina Mocotí_,4.4,22,0,Medium
Veloso,4.6,58,0,Medium
Sainte Marie Gastronomia,4.1,11,0,Medium
Austin's BBQ and Oyster Bar,3.3,35,0,Medium
BJ's Country Buffet,3.3,25,0,Medium
Cookie Shoppe,3.4,34,0,Medium
El Vaquero Mexican Restaurant,3.4,45,0,Medium
Elements Coffee Co - Northwest,3.4,26,0,Medium
Pearly's Famous Country Cookng,3.4,36,0,Medium
Chick-fil-A,3.5,67,0,Medium
Guang Zhou Chinese Restaurant,3.9,141,0,Medium
Harvest Moon,3.7,147,0,Medium
Henry Campbell's Steakhouse,3.5,51,0,Medium
Hong Kong Cafe,3.6,88,0,Medium
House of China Restaurant II,3.8,153,0,Medium
Jimmie's Hot Dogs,3.9,160,0,Medium
Locos Grill & Pub,3.5,57,0,Medium
Longhorn Steakhouse,3.5,58,0,Medium
Mikata Japanese Steakhouse,3.6,115,0,Medium
Shogun Japanese Steak House,3.5,51,0,Medium
The Catch Seafood Room & Oyster Bar,3.8,250,0,Medium
Villa Gargano,3.7,117,0,Medium
3 Squares Diner,3.4,20,0,Medium
Whitebull Hotel,3.5,25,0,Medium
Last Resort Grill,4.5,1821,2,High
Mama's Boy Restaurant,4.5,849,0,Medium
Sr. Sol 1,4.6,917,0,Medium
Choo Choo Eastside,3.9,439,0,Medium
The Grill,3.7,289,0,Medium
Big City Bread Cafe,4.3,558,0,Medium
Clocked,4.2,613,0,Medium
DePalma's Italian Cafe - Downtown,4.0,353,0,Medium
DePalma's Italian Cafe - East Side,4.1,387,0,Medium
Five & Ten,4.3,755,0,Medium
Grit,4.2,800,0,Medium
Ike & Jane,4.1,350,0,Medium
La Dolce Vita Ristorante,4.1,464,0,Medium
Shokitini,4.2,550,0,Medium
Taqueria Del Sol,4.1,543,0,Medium
The National,4.1,465,0,Medium
The Royal Peasant,4.4,546,0,Medium
Transmetropolitan,4.4,1098,0,Medium
Trappeze Pub,4.2,579,0,Medium
Viva! Argentine Cuisine,4.1,374,0,Medium
Miyabi Kyoto Japanese Steak House,4.6,717,0,Medium
